1123
0 72 144
1 733 1125
2 1047 61
3 1111 1096
4 248 1191
5 180 175
6 717 672
7 154 1050
8 487 285
9 282 533
10 809 1095
11 826 868
12 643 1183
13 686 482
14 395 260
15 686 18
16 951 433
17 252 983
18 231 498
19 943 844
20 521 751
21 303 917
22 859 1005
23 397 270
24 698 38
25 1166 1065
26 890 914
27 693 674
28 502 394
29 771 586
30 886 895
31 56 830
32 601 953
33 1186 1069
34 673 22
35 6 946
36 319 321
37 410 890
38 46 561
39 1183 775
40 602 255
41 478 279
42 501 278
43 941 615
44 1103 885
45 425 292
46 71 134
47 505 410
48 1125 261
49 886 1043
50 957 945
51 1128 275
52 1020 420
53 798 831
54 913 108
55 934 603
56 706 1027
57 115 1109
58 212 466
59 166 150
60 571 375
61 996 986
62 1130 869
63 943 640
64 811 473
65 1061 79
66 398 538
67 1165 749
68 167 1047
69 577 382
70 762 350
71 504 756
72 998 995
73 960 607
74 781 564
75 766 574
76 907 917
77 249 1182
78 212 523
79 1109 275
80 1130 1091
81 485 938
82 772 339
83 686 152
84 1116 642
85 61 848
86 935 613
87 608 267
88 170 267
89 5 706
90 32 572
91 878 891
92 1193 753
93 165 174
94 1119 631
95 295 652
96 142 1103
97 173 40
98 1067 86
99 14 746
100 22 715
101 712 1011
102 1198 347
103 828 436
104 627 546
105 239 1196
106 809 1080
107 102 919
108 483 55
109 1036 809
110 932 123
111 614 268
112 246 990
113 107 1093
114 1101 1113
115 816 861
116 500 729
117 98 319
118 829 215
119 29 715
120 1117 634
121 26 616
122 357 55
123 586 1056
124 940 150
125 714 691
126 258 1196
127 255 997
128 469 182
129 419 889
130 479 279
131 513 387
132 160 441
133 394 362
134 903 1035
135 854 363
136 534 1132
137 1084 852
138 174 144
139 1096 1123
140 1046 825
141 75 398
142 86 405
143 121 1179
144 805 227
145 794 1141
146 1009 828
147 175 173
148 598 273
149 1033 1150
150 769 849
151 474 486
152 376 600
153 868 361
154 484 935
155 722 1186
156 399 298
157 858 560
158 143 1128
159 935 8
160 612 244
161 796 461
162 999 436
163 150 574
164 707 686
165 387 599
166 996 829
167 667 590
168 440 891
169 645 591
170 621 800
171 803 1084
172 1123 1108
173 347 72
174 797 833
175 222 218
176 786 177
177 1112 642
178 560 399
179 340 289
180 338 105
181 1104 949
182 1038 54
183 316 887
184 510 414
185 393 255
186 28 965
187 1118 1114
188 425 433
189 299 106
190 7 244
191 171 170
192 999 970
193 1022 1180
194 798 822
195 13 690
196 581 785
197 1172 500
198 532 763
199 904 1022
200 769 589
201 1129 874
202 64 619
203 1130 289
204 92 311
205 947 10
206 998 253
207 229 801
208 2 971
209 1097 866
210 56 836
211 1110 952
212 292 1118
213 987 212
214 978 251
215 901 922
216 1055 86
217 486 1028
218 1030 1068
219 141 938
220 1027 1051
221 1180 734
222 496 402
223 58 861
224 84 411
225 770 334
226 105 321
227 537 1158
228 680 1010
229 1054 92
230 1006 947
231 238 685
232 1129 859
233 413 886
234 391 467
235 556 387
236 1143 174
237 469 474
238 732 713
239 1116 931
240 1103 877
241 244 216
242 172 164
243 493 394
244 587 942
245 1100 1117
246 1134 274
247 648 823
248 894 911
249 224 483
250 516 389
251 525 404
252 622 775
253 452 1056
254 327 293
255 167 275
256 668 1139
257 137 924
258 703 607
259 343 886
260 780 225
261 1138 145
262 397 257
263 1114 937
264 93 420
265 430 889
266 323 306
267 825 1064
268 391 281
269 139 435
270 1124 263
271 408 283
272 1102 1091
273 321 280
274 1109 621
275 862 543
276 248 994
277 5 685
278 813 1083
279 1119 953
280 316 914
281 463 697
282 706 475
283 245 211
284 468 1075
285 240 220
286 1050 816
287 179 264
288 910 896
289 705 684
290 264 1001
291 150 763
292 304 793
293 569 504
294 298 894
295 304 901
296 39 846
297 507 301
298 382 593
299 67 627
300 617 552
301 1166 172
302 1135 272
303 334 295
304 847 556
305 210 509
306 84 395
307 442 532
308 369 590
309 1110 257
310 308 277
311 426 879
312 564 496
313 168 1034
314 848 355
315 918 135
316 473 177
317 353 120
318 1034 1057
